Barcode,Points,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9
CS18-YC1I-207,1370,1.0488957125,0.673062964172628,0.240314266576682,-0.846685396721074,2.58173903250355,NA,61.6788321167883,0,0.185225662425,0.261173513125,0.35434010800625,0.436722184375,0.53228588884375,0.59414284875,0.64863121226875,0.685831903525,0.73014015943125,0.75642260875,0.78107667826875,0.79753417795,0.8157325591625,0.8290035893875,0.8468444316875,0.872889795325,0.90609224176875,0.9289737509375,0.950116728875,0.219138056975895,6.64718772826881,13.4404674945215,19.2841490138787,24.8356464572681,33.235938641344,45.2885317750183,72.972972972973,93.3528122717312
CS18-YC1I-208,1365,1.09186386575,0.740723838881777,0.2588031422472,-0.969402219590852,2.61999862013935,NA,66.007326007326,0,0.217535985125,0.290645597775,0.375587654225,0.474008705875,0.565109255125,0.65939618085,0.763806815775,0.814616573975,0.838799008275,0.86239391175,0.876239285375,0.886504780175,0.8976396955,0.908530530175,0.92489486775,0.93674233295,0.95265216915,0.9774693602,1.012296673225,0.513196480938416,5.13196480938416,12.8299120234604,18.1818181818182,24.1935483870968,29.9120234604106,35.0439882697947,53.8123167155425,91.2023460410557
CS18-YC1I-209,1333,1.0703737685,0.687659077600431,0.233907094100745,-1.10123065062804,3.35793678143243,NA,67.6669167291823,0,0.152380616075,0.254503219225,0.402898130725,0.5222550653,0.60912108075,0.670056795375,0.70574264145,0.72913143625,0.743395326675,0.757023329375,0.771243623825,0.781991103025,0.7983554083,0.816874457025,0.83698445175,0.8537640595,0.8842380284,0.92060500025,0.9670993844,1.05105105105105,8.18318318318318,12.5375375375375,15.7657657657658,20.6456456456456,27.2522522522523,46.6216216216216,80.5555555555556,94.96996996997
CS18-YC1I-210,1221,1.15290176475,0.692393338905917,0.282113615267447,-0.659840428651048,2.33248702248384,NA,62.6535626535627,0,0.144878607625,0.214043419375,0.298242593875,0.40096533625,0.497028236625,0.598372873375,0.664911927875,0.71034783675,0.74620223325,0.772116777375,0.795592246375,0.81850611575,0.8483244735,0.868939404625,0.90033941975,0.92988532225,0.965216394625,1.00642419075,1.064877389125,2.04918032786885,11.3114754098361,18.4426229508197,23.0327868852459,28.3606557377049,37.3770491803279,57.8688524590164,79.2622950819672,92.6229508196721
CS18-YC1I-211,981,1.128853196375,0.666018760619903,0.275135142926042,-0.628492898004504,2.17560330922396,NA,61.5698267074414,0,0.148299809375,0.2059094505,0.28378197175,0.37672791025,0.4568777335,0.5179602445,0.609057371375,0.685180429625,0.73053598275,0.764690043125,0.7903722505,0.80802911675,0.82714694525,0.8407710235,0.86399483275,0.8981716005,0.933140931875,0.97805630725,1.017532821,2.04081632653061,11.530612244898,18.265306122449,24.6938775510204,32.1428571428571,39.7959183673469,54.8979591836735,80.7142857142857,94.7959183673469
CS18-YC1I-212,1049,1.046400544625,0.671673360681125,0.281730090659063,-0.675418887906988,2.01102688432961,NA,60.7244995233556,0,0.143385833675,0.20344799005,0.278640296725,0.34725652005,0.426301952625,0.50895747355,0.6095852764,0.689746472575,0.756156074375,0.802615938375,0.834259616625,0.85284766575,0.86756755,0.8791950902,0.890001002,0.905811467725,0.928091390225,0.958167298675,0.98972476775,0.381679389312977,10.3053435114504,18.1297709923664,24.236641221374,30.7251908396947,36.4503816793893,43.1297709923664,55.7251908396947,87.7862595419847
CS18-YC1I-213,1202,1.22214209675,0.770611951817076,0.26139291113235,-0.827213975135868,2.80843711813232,NA,56.6555740432612,0,0.21521729388125,0.35941642315,0.490876300725,0.560895580475,0.61598473396875,0.6532936770125,0.691759626125,0.740490499325,0.7910368921125,0.8322917498125,0.88997687116875,0.9232403772,0.94628016016875,0.9656539244875,0.985885748875,1.001844382775,1.02277873394375,1.041788310775,1.06630743326875,1.41548709408826,6.32805995004163,10.4079933388843,14.9042464612823,24.2298084929226,39.3838467943381,52.2897585345545,73.022481265612,98.2514571190674
CS18-YC1I-214,1235,1.104675891125,0.648851400430769,0.243942783448935,-0.588143345414585,2.51661793558558,NA,58.7854251012146,0,0.1600007613,0.26496087575,0.3442452623,0.422446482125,0.49668772575,0.557053129725,0.607974903375,0.640179648775,0.6697738181625,0.69653088,0.7227351111875,0.75087090375,0.7729330228375,0.792337058075,0.8246367555,0.86511178955,0.8975757388875,0.935697098775,0.9836916303,1.37763371150729,8.34683954619125,14.5867098865478,20.9886547811994,29.5786061588331,43.7601296596434,65.1539708265802,82.9821717990276,95.7860615883306
CS18-YC1I-215,978,1.1371204835,0.685117518199003,0.30081744841554,-0.38557383695991,1.8734381389434,NA,55.521472392638,0,0.154429594125,0.22111766135,0.29315906941875,0.35472841635,0.4324399631875,0.5133930698625,0.55964024145,0.62168123405,0.69022467039375,0.7395517831875,0.78869225755625,0.842336449175,0.88864581761875,0.9237183480875,0.9534212908125,0.98140994405,1.00701168416875,1.04210983115,1.0769770163875,0.818833162743091,10.3377686796315,19.1402251791198,26.2026612077789,35.9263050153531,44.2169907881269,55.5783009211873,68.1678607983623,88.2292732855681
CS18-YC1I-216,1027,1.150568837875,0.564941022790896,0.239297889258848,-0.160991435775454,2.49508849698694,NA,57.0593962999026,0,0.140181320275,0.19501774325,0.253504974425,0.313483696575,0.41220153725,0.454619631,0.5048714848375,0.548097358125,0.5781432282875,0.6011355565,0.623438269975,0.646932697175,0.668122628625,0.692496326425,0.7211130515,0.746001921,0.791831235325,0.848304176275,0.947835566312499,2.53411306042885,12.8654970760234,21.5399610136452,30.5068226120858,44.4444444444444,69.4931773879142,86.4522417153996,94.0545808966862,97.6608187134503
CS18-YC1I-217,1026,1.2075476695,0.816777023405093,0.276227128989589,-1.13136878173166,3.16035895382042,NA,68.8109161793372,0,0.20583250109375,0.347326158375,0.44458676946875,0.56572372225,0.70557571896875,0.791686383125,0.8454342350625,0.867232976625,0.886923906875,0.90612303875,0.92628779753125,0.9510893175,0.98047251825,0.99922284875,1.0208827501875,1.036512607375,1.054960961375,1.0719201606875,1.10025283540625,1.07317073170732,6.53658536585366,10.8292682926829,16.780487804878,21.8536585365854,25.7560975609756,35.0243902439024,62.4390243902439,92.6829268292683
